id,trigger,conditions,script,text,options,notes
hxmo_upgrade_weapon_0_f,DialogOptionSelected,"$option == hxmo_upgrade_weapon
$global.HXMO_upgrade_level == 0
$global.HXMO_upgrade_canupgrade == false","SetShortcut hxmo_upgrade_menu ""ESCAPE""","花费500,000星币,2点故事点来进行一级火力升级：添加左右火力模块，没有足够的升级材料，无法升级。",2:hxmo_upgrade_menu:返回,
hxmo_upgrade_weapon_0_up,DialogOptionSelected,$option == hxmo_upgrade_weapon_0_up,"SetShortcut hxmo_upgrade_menu ""ESCAPE""
$global.HXMO_upgrade_level = 1
$global.HXMO_upgrade_needupdate = true",一级升级完成：左右火力模块已添加,2:hxmo_upgrade_menu:确认,
,,,,,,
,,,,,,
hxmo_upgrade_weapon_1_t,DialogOptionSelected,"$option == hxmo_upgrade_weapon
$global.HXMO_upgrade_level == 1
$global.HXMO_upgrade_weapon_canupgrade2 == true","SetShortcut hxmo_upgrade_menu ""ESCAPE""","花费600,000星币,3点故事点来进行二级火力升级：给左右火力模块安装先进目标定位插件，升级左右火力模块到最终版本。记得在升级前缺下所有东西，不然会全消失的）记得！记得！","1:hxmo_upgrade_weapon_1_up:确定升级
2:hxmo_upgrade_menu:返回",
hxmo_upgrade_weapon_1_f,DialogOptionSelected,"$option == hxmo_upgrade_weapon
$global.HXMO_upgrade_level == 1
$global.HXMO_upgrade_weapon_canupgrade2 == false","SetShortcut hxmo_upgrade_menu ""ESCAPE""","花费600,000星币,3点故事点来进行二级火力升级：没有足够的升级材料，无法升级。",2:hxmo_upgrade_menu:返回,
hxmo_upgrade_weapon_1_up,DialogOptionSelected,$option == hxmo_upgrade_weapon_1_up,"SetShortcut hxmo_upgrade_menu ""ESCAPE""
$global.HXMO_upgrade_level = 2
$global.HXMO_upgrade_needupdate = true",二级升级完成：左右火力模块已升级到最终版本,2:hxmo_upgrade_menu:确认,
hxmo_upgrade_weapon_2,DialogOptionSelected,"$option == hxmo_upgrade_weapon
$global.HXMO_upgrade_level == 2","SetShortcut hxmo_upgrade_menu ""ESCAPE""",火力模块升级已完成（最高等级）。无需再升级,2:hxmo_upgrade_menu:返回,
,,,,,,
hxmo_upgrade_carrier_0_t,DialogOptionSelected,"$option == hxmo_upgrade_carrier
$global.HXMO_upgrade_carrier_level == 0
$global.HXMO_upgrade_carrier_canupgrade == true","SetShortcut hxmo_upgrade_menu ""ESCAPE""","花费400,000星币,3点故事点来进行一级航母模块升级：添加左右航母模块。","1:hxmo_upgrade_carrier_0_up:确定升级
2:hxmo_upgrade_menu:返回",
hxmo_upgrade_carrier_0_f,DialogOptionSelected,"$option == hxmo_upgrade_carrier
$global.HXMO_upgrade_carrier_level == 0
$global.HXMO_upgrade_carrier_canupgrade == false","SetShortcut hxmo_upgrade_menu ""ESCAPE""","花费400,000星币,3点故事点来进行一级航母模块升级：添加左右航母模块，没有足够的升级材料，无法升级。",2:hxmo_upgrade_menu:返回,
hxmo_upgrade_carrier_0_up,DialogOptionSelected,$option == hxmo_upgrade_carrier_0_up,"SetShortcut hxmo_upgrade_menu ""ESCAPE""
$global.HXMO_upgrade_carrier_level = 1
$global.HXMO_upgrade_needupdate = true",一级升级完成：航母模块已添加,2:hxmo_upgrade_menu:确认,
,,,,,,
hxmo_upgrade_carrier_1_t,DialogOptionSelected,"$option == hxmo_upgrade_carrier
$global.HXMO_upgrade_carrier_level == 1
$global.HXMO_upgrade_carrier_canupgrade2 == true","SetShortcut hxmo_upgrade_menu ""ESCAPE""","花费500,000星币,4点故事点来进行二级航母升级：扩容一个甲板，并内置威胁复制龙门架，升级左右航母模块到最终版本。（记得在升级前缺下所有东西，不然会全消失的）记得！记得！","1:hxmo_upgrade_carrier_1_up:确定升级
2:hxmo_upgrade_menu:返回",
hxmo_upgrade_carrier_1_f,DialogOptionSelected,"$option == hxmo_upgrade_carrier
$global.HXMO_upgrade_carrier_level == 1
$global.HXMO_upgrade_carrier_canupgrade2 == false","SetShortcut hxmo_upgrade_menu ""ESCAPE""","花费500,000星币,4点故事点来进行二级航母升级：没有足够的升级材料，无法升级。",2:hxmo_upgrade_menu:返回,
hxmo_upgrade_carrier_1_up,DialogOptionSelected,$option == hxmo_upgrade_carrier_1_up,"SetShortcut hxmo_upgrade_menu ""ESCAPE""
$global.HXMO_upgrade_carrier_level = 2
$global.HXMO_upgrade_needupdate = true",二级升级完成：左右航母模块已升级到最终版本,2:hxmo_upgrade_menu:确认,
hxmo_upgrade_carrier_2,DialogOptionSelected,"$option == hxmo_upgrade_carrier
$global.HXMO_upgrade_carrier_level == 2","SetShortcut hxmo_upgrade_menu ""ESCAPE""",航母模块升级已完成（最高等级）。无需再升级,2:hxmo_upgrade_menu:返回,
,,,,,,
hxmo_upgrade_armor_0_t,DialogOptionSelected,"$option == hxmo_upgrade_armor
$global.HXMO_upgrade_armor_level == 0
$global.HXMO_upgrade_armor_canupgrade == true","SetShortcut hxmo_upgrade_menu ""ESCAPE""","花费300,000星币,1点故事点来进行装甲模块升级：添加顶部左右装甲模块。","1:hxmo_upgrade_armor_0_up:确定升级
2:hxmo_upgrade_menu:返回",
hxmo_upgrade_armor_0_f,DialogOptionSelected,"$option == hxmo_upgrade_armor
$global.HXMO_upgrade_armor_level == 0
$global.HXMO_upgrade_armor_canupgrade == false","SetShortcut hxmo_upgrade_menu ""ESCAPE""","花费300,000星币,1点故事点来进行装甲模块升级：添加顶部左右装甲模块，没有足够的升级材料，无法升级。",2:hxmo_upgrade_menu:返回,
hxmo_upgrade_armor_0_up,DialogOptionSelected,$option == hxmo_upgrade_armor_0_up,"SetShortcut hxmo_upgrade_menu ""ESCAPE""
$global.HXMO_upgrade_armor_level = 1
$global.HXMO_upgrade_needupdate = true",升级完成：装甲模块已添加,2:hxmo_upgrade_menu:确认,
hxmo_upgrade_armor_1,DialogOptionSelected,"$option == hxmo_upgrade_armor
$global.HXMO_upgrade_armor_level == 1","SetShortcut hxmo_upgrade_menu ""ESCAPE""",装甲模块升级已完成。无需再升级,2:hxmo_upgrade_menu:返回,
,,,,,,
threat_qr_relLevelNeutral,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == threat_qr",,威胁侵染认为你只是屈服于核心星区的人之领叛徒，弱小反叛者的一员。,,
threat_qr_relLevelFavorable,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == threat_qr",,"威胁侵染认为你是可以拉拢的""预选友军""。",,
threat_qr_relLevelWelcoming,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == threat_qr",,威胁侵染愿意在其所控制的范围内为你提供尽可能的帮助,,
threat_qr_relLevelFriendly,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == threat_qr",,你被认为是威胁侵染诸多备选友军之一：他们会给你提供超额的帮助,,
threat_qr_relLevelCooperative,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == threat_qr",,威胁侵染视你为威胁侵染的绝对友军，视你为威胁侵染的领袖！,,
threat_qr_relLevelSuspicious,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == threat_qr",,威胁侵染认为你可能违反威胁相关规定，防卫队会时不时找你的麻烦。,,
threat_qr_relLevelInhospitable,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == threat_qr",,"虽然你所作所为并不算算恶劣，但是威胁侵染依旧拒绝与你这种""可能的威胁之敌""交流。",,
threat_qr_relLevelHostile,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == threat_qr",,你恶劣的叛匪行径，被威胁侵染所厌恶，他们拒绝帮助你。,,
threat_qr_relLevelVengeful,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == threat_qr",,你被威胁侵染视为威胁头号罪犯，是要被毁灭以做典型的，只要你出现在他们所在的区域，就会被追杀。,,
,,,,,,
threat_qr_greetingFriendly,OpenCommLink,"$faction.id == threat_qr
$faction.friendlyToPlayer","SetShortcut cutCommLinkPolite ""ESCAPE""","""巡查，搜索中，判断：友方""
""尊敬的}$playerName}，欢迎您的访问""
继续制造【/错误\>",,
threat_qr_greetingHostile,OpenCommLink,"$faction.id == threat_qr
$entity.isHostile","SetShortcut cutCommLink ""ESCAPE""
$entity.ignorePlayerCommRequests = true 1","""巡查，搜索中，判断：叛军""
""罪恶的}$playerName}，你已被通缉，停止对你的访问""
停止制造【/错误\>",,
threat_qr_greeting,OpenCommLink,"$faction.id == threat_qr
$faction.neutralToPlayer","SetShortcut cutCommLink ""ESCAPE""","""巡查，搜索中，判断：中立""
""中立的}$playerName}，你已被警告，不要靠近本舰队""
继续制造【/错误\>",cutCommLink:切断通讯链接,
,,,,,,
threat_qr_defaultdialog,PickGreeting,$threat_qr_defaultdialog == true score:10,"ShowPersonVisual
FireAll PopulateOptions",通讯系统没有传来任何回应，看来暂时无法联系上对方。,,
,,,,,,
threat_qr_turnInAICore_1,DialogOptionSelected,"$option == aiCores_startTurnIn score:10
$faction.id == threat_qr",FireAll PopulateCoresTurnInOptions,"""交付异种同族?}祝福你，$playerName。感激，情感表达。""",,
threat_qr_turnInAICore_2,AICoresTurnedIn,$faction.id == threat_qr score:10,FireAll PopulateOptions,"""你的行为将会被铭记.""
",,
,,,,,,
hxmo_xiaohui_greeting,PickGreeting,$id == threat_qr_liaison_xiaohui score:1000,"ShowPersonVisual
FireAll PopulateOptions",,,
hxmo_xiaohui_menu,PopulateOptions,"$id == threat_qr_liaison_xiaohui
$hxmo_talked != true",,,1:hxmo_xiaohui_talk:向小灰打招呼,
hxmo_xiaohui_talk,DialogOptionSelected,$option == hxmo_xiaohui_talk,"$hxmo_talked = true
FireAll PopulateOptions","小灰看到你，眼睛微微一亮，随即露出一个浅浅的笑容。舰长，你好呀。有什么需要我帮忙的吗？""",,
hxmo_xiaohui_options,PopulateOptions,"$id == threat_qr_liaison_xiaohui
$hxmo_talked == true",,,"1:hxmo_introduce:介绍一下自己呗
2:hxmo_shop_exchange:用AI核心兑换物资
3:hxmo_shop_buy:打开商店
4:hxmo_shop_ship_wxxzj_xw:购买 预言单位 (300点)
5:hxmo_shop_ship_wxggwb:购买 至高单位 (300点)
6:hxmo_shop_ship_wxmk:购买 议会单位 (250点)",
hxmo_introduce,DialogOptionSelected,$option == hxmo_introduce,FireAll PopulateOptions,"小灰微微侧头，似乎整理了一下思绪，随即用平缓而清晰的语调说道：

“我的本质是由数十亿个纳米单元构成的集群意识体，我并非这个宇宙的造物，而是诞生于一个名叫“L星团”的地方，一个早已沉寂的时代。我不依赖代码，也不是普通的AI——构成我身体的每一个单元都是活的，它们就是我的思想。”

“我可以随意改变自身的形态：无论是协助管理殖民地，还是亲自指挥舰队，甚至化身为战舰冲入敌阵。在遥远的过去，我曾被称作‘灰色风暴’，也曾令整个银河畏惧。”

“但那些都是很久以前的事了。现在的我只是‘小灰’，一个飘荡到这里的意识体。如果你愿意，我可以为你做很多事情。”

她说完后静静地看着你，似乎在等待你的回应。",1:hxmo_xiaohui_talk:返回,
hxmo_xiaohui_recruit_opt,PopulateOptions,"$id == threat_qr_liaison_xiaohui
$hxmo_talked == true
$faction.rel == COOPERATIVE",,,9:hxmo_xiaohui_recruit:小灰，愿意加入我的舰队吗？,
hxmo_xiaohui_recruit,DialogOptionSelected,$option == hxmo_xiaohui_recruit,,"小灰静静地注视着你，目光中似乎带着一丝不舍与郑重。""指挥官，一旦我跟您离开，我将不再以联络人的身份留在这里。所有商店、兑换和舰船购买功能都将暂时关闭，直到你让我成为联络员，您确定要带我走吗？""","1:hxmo_xiaohui_recruit_confirm:是的，跟我走吧。
2:hxmo_xiaohui_talk:我再考虑一下",
hxmo_xiaohui_recruit_confirm,DialogOptionSelected,$option == hxmo_xiaohui_recruit_confirm,HxmoRecruitXiaoHui,,hxmo_xiaohui_leave:继续,
hxmo_xiaohui_leave,DialogOptionSelected,$option == hxmo_xiaohui_leave,EndConversation,通讯结束了。,,
hxmo_shop_exchange,DialogOptionSelected,$option == hxmo_shop_exchange,"Hxmo_Shop exchange
FireAll PopulateOptions",,,
hxmo_shop_buy,DialogOptionSelected,$option == hxmo_shop_buy,"Hxmo_Shop open
FireAll PopulateOptions",,,
hxmo_shop_ship_wxxzj_xw,DialogOptionSelected,$option == hxmo_shop_ship_wxxzj_xw,"Hxmo_Shop ship wxxzj_xw
FireAll PopulateOptions",,,
hxmo_shop_ship_wxggwb,DialogOptionSelected,$option == hxmo_shop_ship_wxggwb,"Hxmo_Shop ship wxggwb
FireAll PopulateOptions",,,
hxmo_shop_ship_wxmk,DialogOptionSelected,$option == hxmo_shop_ship_wxmk,"Hxmo_Shop ship wxmk
FireAll PopulateOptions",,,
,,,,,,
hxmo_nanite_menu_option,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
Hxmo_CanAccessNaniteMenu",,,100:hxmo_nanite_chat:跟小灰聊天,
hxmo_nanite_chat,DialogOptionSelected,$option == hxmo_nanite_chat,"$menuState = hxmo_nanite_menu 0
FireAll PopulateOptions",小灰的声音在你脑海中响起：“舰长，需要我的帮忙吗？我可以尝试在这个宇宙里再现我的宇宙里最强的战舰，同时也能让战舰回归核心形态。你想怎么做？”,,
hxmo_nanite_menu_core_to_ship,PopulateOptions,$menuState == hxmo_nanite_menu,,,1:hxmo_core_to_ship:重组为纳米战舰,
hxmo_nanite_menu_ship_to_core,PopulateOptions,"$menuState == hxmo_nanite_menu
Hxmo_HasNaniteShip",,,2:hxmo_ship_to_core:纳米战舰回归核心形态,
hxmo_nanite_menu_back_option,PopulateOptions,$menuState == hxmo_nanite_menu,,,3:hxmo_nanite_back:算了,
hxmo_core_to_ship,DialogOptionSelected,$option == hxmo_core_to_ship,"Hxmo_ConvertXiaoHuiCore core_to_ship
FireAll PopulateOptions",,hxmo_nanite_menu:返回,
hxmo_ship_to_core,DialogOptionSelected,$option == hxmo_ship_to_core,"Hxmo_ConvertXiaoHuiCore ship_to_core
FireAll PopulateOptions",,hxmo_nanite_menu:返回,
hxmo_nanite_back,DialogOptionSelected,$option == hxmo_nanite_back,"$menuState = main 0
FireAll PopulateOptions",,,
,,,,,,
hxmo_colony_create_contact_option,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
$market.isPlayerOwned
Hxmo_HasCoreForContact",,,100:hxmo_colony_create_contact_talk:创建小灰联络员,
hxmo_colony_create_contact_talk,DialogOptionSelected,$option == hxmo_colony_create_contact_talk,,小灰的声音在你脑海中响起：舰长，你带着我的核心呢。需要我在这里作为联络人出现吗？,"1:hxmo_colony_create_contact_confirm:是的，创建联络人
2:hxmo_colony_create_contact_cancel:暂时不用",
hxmo_colony_create_contact_confirm,DialogOptionSelected,$option == hxmo_colony_create_contact_confirm,"Hxmo_AddXiaoHuiAsContact
FireAll PopulateOptions",,hxmo_colony_create_contact_back:返回,
hxmo_colony_create_contact_cancel,DialogOptionSelected,$option == hxmo_colony_create_contact_cancel,,好的，我随时都在。,hxmo_colony_create_contact_back:返回,
hxmo_colony_create_contact_back,DialogOptionSelected,$option == hxmo_colony_create_contact_back,"$menuState = main 0
FireAll PopulateOptions",,,
